periodo,ipc,cpe
201901,189.6101,1453.2
201902,196.7501,1494.3
201903,205.9571,1549.7
201904,213.0517,1608.2
201905,219.5691,1660
201906,225.537,1701
201907,230.494,1742
201908,239.6077,1800.4
201909,253.7102,1898.3
201910,262.0661,1955.8
201911,273.2158,2042.9
201912,283.4442,2122.9
202001,289.8299,2193
202002,295.666,2228.4
202003,305.5515,2287.5
202004,310.1243,2342.9
202005,314.9087,2368.5
202006,321.9738,2399.1
202007,328.2014,2447.6
202008,337.0632,2516
202009,346.6207,2581.5
202010,359.657,2651
202011,371.0211,2749.2
202012,385.8826,2854.3
202101,401.5071,2989
202102,415.8595,3084.7
202103,435.8657,3203.9
202104,453.6503,3345.8
202105,468.725,3470
202106,483.6049,3586.5
202107,498.0987,3718.8
202108,510.3942,3820.2
202109,528.4968,3948.4
202110,547.0802,4107.8
202111,560.9184,4210.8
202112,582.4575,4377.3
202201,605.0317,4555
202202,633.4341,4750.1
202203,676.0566,5007.7
202204,716.9399,5262.8
202205,753.147,5523.5
202206,793.0278,5812.3
202207,851.761,6312.1
202208,911.1316,6704.9
202209,967.3076,7054.2
202210,1028.706,7540.4
202211,1079.2787,7966.3
202212,1134.5875,8458.9
202301,1202.979,9055.2
202302,1282.7091,9607.2
202303,1381.1601,10215.6
202304,1497.2147,10947.7
202305,1613.5895,11759.9
202306,1709.6115,12601.9
202307,1818.0838,13619
202308,2044.2832,15082.2
202309,2304.9242,16985.3
202310,2496.273,18642.9
202311,2816.0628,20787.4
202312,3533.1922,25424.3
202401,4261.5324,30796.1
202402,4825.7881,35119.2
202403,5357.0929,38566
202404,5830.2271,41604.1
202405,6073.7165,43467.4
202406,6351.7145,45819.3
202407,6607.7479,48276.8
202408,6883.4412,49611.5
202409,7122.2421,51411.7
